,NAS _folder1,BioaccesioningId,SampleNaming,parentName,NAS_folder,group_name,imageGroupRid,rawImageKey,displayImageKey,title,imageMetadata,displayName,displayIdentifier,groupType,parentId,parentType,childId,childType,analyticId,analyticVersion,area,greenRing,greenAnnotation,redRing,redAnnotation,bftitle,redtitle,red_rawimagekey,greentitle,green_rawimagekey,title_0,title_1,title_2,title_3,parentId_check,title_5,6,well,channel,slice,row,column,WELL,s3_key,Day
9430,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day4 Bright Field Only/,Establishment Day 4 BF Only,35d889ad-0069-41a5-b246-30eeb64471bf,s3://xilishub-production/37eccfb5-0c5a-4d64-8523-3e2c20140d0c.tiff,s3://xilishub-production/37eccfb5-0c5a-4d64-8523-3e2c20140d0c.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day4 Bright Field Only/Well_C6_Ch1_1um,{},Establishment Day 4 BF Only,establishment_day_4_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",35d889ad-0069-41a5-b246-30eeb64471bf,group,37eccfb5-0c5a-4d64-8523-3e2c20140d0c,images,detect-objects-with-threshold,1.0.1,334.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day4 Bright Field Only,Well_C6_Ch1_1um,C6,Ch1,1um,C,06,C06,37eccfb5-0c5a-4d64-8523-3e2c20140d0c.tiff,Day 04
9841,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day7 images/,Establishment Day 7,16e5604a-442f-4c9c-8d0b-18c699292f57,s3://xilishub-production/a2d12b8e-b63d-4935-9974-46c96b4934c5.tiff,s3://xilishub-production/a2d12b8e-b63d-4935-9974-46c96b4934c5.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day7 Live_Dead/Well_C9_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",16e5604a-442f-4c9c-8d0b-18c699292f57,group,a2d12b8e-b63d-4935-9974-46c96b4934c5,images,detect-objects-with-threshold,1.0.1,473.0,182682.0,73990.0,86876.0,29308.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day7 LiveDead/Well_C9_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day7 LiveDead/Well_C9_Ch2_1um,s3://xilishub-production/d190de74-d828-4a9e-a62f-dbeaeeb35a51-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day7 LiveDead/Well_C9_Ch1_1um,s3://xilishub-production/31ead0be-e5e2-4bb3-aa5d-ed7f9f2d0e8e-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day7 Live_Dead,Well_C9_Ch3_1um,C9,Ch3,1um,C,09,C09,a2d12b8e-b63d-4935-9974-46c96b4934c5.tiff,Day 07
10264,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day8 Images/,Establishment Day 8,aca82f67-217d-469f-bd99-4a31cc534bba,s3://xilishub-production/fc66d166-4706-4dde-8c0a-d71685995a24.tiff,s3://xilishub-production/fc66d166-4706-4dde-8c0a-d71685995a24.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day8 Live_Dead/Well_C10_Ch3_1um,{},Establishment Day 8,establishment_day_8,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",aca82f67-217d-469f-bd99-4a31cc534bba,group,fc66d166-4706-4dde-8c0a-d71685995a24,images,detect-objects-with-threshold,1.0.1,382.0,72637.0,77997.0,101421.0,25985.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day8 LiveDead/Well_C10_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day8 LiveDead/Well_C10_Ch2_1um,s3://xilishub-production/21724c48-635d-443f-814a-145c7cd94c7a-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day8 LiveDead/Well_C10_Ch1_1um,s3://xilishub-production/31d00bcf-8b95-4107-81c2-02ec8f6710c6-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day8 Live_Dead,Well_C10_Ch3_1um,C10,Ch3,1um,C,10,C10,fc66d166-4706-4dde-8c0a-d71685995a24.tiff,Day 08
10631,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day9 images/,Establishment Day 9,24bcc113-86d1-4654-8338-8d94a8e88fed,s3://xilishub-production/2eb0fedc-182b-4c35-8a26-2c751ebd51d8.tiff,s3://xilishub-production/2eb0fedc-182b-4c35-8a26-2c751ebd51d8.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day9 Live_Dead/Well_C11_Ch3_1um,{},Establishment Day 9,establishment_day_9,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",24bcc113-86d1-4654-8338-8d94a8e88fed,group,2eb0fedc-182b-4c35-8a26-2c751ebd51d8,images,detect-objects-with-threshold,1.0.1,373.0,904008.0,54208.0,188154.0,13501.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day9 LiveDead/Well_C11_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day9 LiveDead/Well_C11_Ch2_1um,s3://xilishub-production/23c262fc-62c0-4077-9368-f35c2ad59b2b-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day9 LiveDead/Well_C11_Ch1_1um,s3://xilishub-production/ec423de7-1366-4fae-916f-5f70b722d8c1-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day9 Live_Dead,Well_C11_Ch3_1um,C11,Ch3,1um,C,11,C11,2eb0fedc-182b-4c35-8a26-2c751ebd51d8.tiff,Day 09
10934,Trial 1 images by sample/,501297,501297/ – > Tx 501297 Trial 1,Tx 501297 Trial 1,Day10 Images/,Establishment Day 10,6887bdae-10a4-4213-a2ac-3e2f8185479e,s3://xilishub-production/92704755-9186-44d7-9cc4-263408c12b89.tiff,s3://xilishub-production/92704755-9186-44d7-9cc4-263408c12b89.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day10 Live_Dead/Well_C12_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",6887bdae-10a4-4213-a2ac-3e2f8185479e,group,92704755-9186-44d7-9cc4-263408c12b89,images,detect-objects-with-threshold,1.0.1,404.0,589226.0,45004.0,178085.0,14891.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day10 LiveDead/Well_C12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day10 LiveDead/Well_C12_Ch2_1um,s3://xilishub-production/1d6ce921-389e-498f-a87a-04ff0e500aad-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501297/Day10 LiveDead/Well_C12_Ch1_1um,s3://xilishub-production/9349df12-5f1a-42d0-bd17-95fbbf88ddbd-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501297,Day10 Live_Dead,Well_C12_Ch3_1um,C12,Ch3,1um,C,12,C12,92704755-9186-44d7-9cc4-263408c12b89.tiff,Day 10
11146,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day0 Bright Field Only/,Establishment Day 0 BF Only,cd530253-9073-4343-858b-0909593487d0,s3://xilishub-production/2f25652c-501e-4394-a9fd-8104862b759d.tiff,s3://xilishub-production/2f25652c-501e-4394-a9fd-8104862b759d.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day0 Bright Field Only/Well_D2_Ch1_1um,{},Establishment Day 0 BF Only,establishment_day_0_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",cd530253-9073-4343-858b-0909593487d0,group,2f25652c-501e-4394-a9fd-8104862b759d,images,detect-objects-with-threshold,1.0.1,402.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day0 Bright Field Only,Well_D2_Ch1_1um,D2,Ch1,1um,D,02,D02,2f25652c-501e-4394-a9fd-8104862b759d.tiff,Day 00
11267,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day1 Bright Field Only/,Establishment Day 1 BF Only,3811301a-b905-4daf-8735-bf403ef6da64,s3://xilishub-production/7d829e7b-db56-4d3b-a6b6-be0f0b355017.tiff,s3://xilishub-production/7d829e7b-db56-4d3b-a6b6-be0f0b355017.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day1 Bright Field Only/Well_D3_Ch1_1um,{},Establishment Day 1 BF Only,establishment_day_1_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",3811301a-b905-4daf-8735-bf403ef6da64,group,7d829e7b-db56-4d3b-a6b6-be0f0b355017,images,detect-objects-with-threshold,1.0.1,259.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day1 Bright Field Only,Well_D3_Ch1_1um,D3,Ch1,1um,D,03,D03,7d829e7b-db56-4d3b-a6b6-be0f0b355017.tiff,Day 01
11436,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day2 Bright Field Only/,Establishment Day 2 BF Only,03269a7b-d4ce-4023-b182-ac616321b5ab,s3://xilishub-production/12ba6d80-ca50-4854-bb13-7f17946b3c63.tiff,s3://xilishub-production/12ba6d80-ca50-4854-bb13-7f17946b3c63.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day2 Bright Field Only/Well_D4_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",03269a7b-d4ce-4023-b182-ac616321b5ab,group,12ba6d80-ca50-4854-bb13-7f17946b3c63,images,detect-objects-with-threshold,1.0.1,719.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day2 Bright Field Only,Well_D4_Ch1_1um,D4,Ch1,1um,D,04,D04,12ba6d80-ca50-4854-bb13-7f17946b3c63.tiff,Day 02
11688,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day3 Bright Field Only/,Establishment Day 3 BF Only,cedb01c6-e0a8-4a05-94a1-4ad9271f1940,s3://xilishub-production/927f28b3-cf9d-4259-a056-8b0563bd89a2.tiff,s3://xilishub-production/927f28b3-cf9d-4259-a056-8b0563bd89a2.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day3 Bright Field Only/Well_D5_Ch1_1um,{},Establishment Day 3 BF Only,establishment_day_3_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",cedb01c6-e0a8-4a05-94a1-4ad9271f1940,group,927f28b3-cf9d-4259-a056-8b0563bd89a2,images,detect-objects-with-threshold,1.0.1,446.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day3 Bright Field Only,Well_D5_Ch1_1um,D5,Ch1,1um,D,05,D05,927f28b3-cf9d-4259-a056-8b0563bd89a2.tiff,Day 03
12032,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day4 Bright Field Only/,Establishment Day 4 BF Only,1e2891b0-897a-41be-9746-c45f98e1bb37,s3://xilishub-production/46c4bda1-092b-4f2a-816e-0ffc32eddbdb.tiff,s3://xilishub-production/46c4bda1-092b-4f2a-816e-0ffc32eddbdb.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day4 Bright Field Only/Well_D6_Ch1_1um,{},Establishment Day 4 BF Only,establishment_day_4_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",1e2891b0-897a-41be-9746-c45f98e1bb37,group,46c4bda1-092b-4f2a-816e-0ffc32eddbdb,images,detect-objects-with-threshold,1.0.1,344.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day4 Bright Field Only,Well_D6_Ch1_1um,D6,Ch1,1um,D,06,D06,46c4bda1-092b-4f2a-816e-0ffc32eddbdb.tiff,Day 04
12310,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day7 images/,Establishment Day 7,03b380ca-eed5-4286-9484-15068bb03265,s3://xilishub-production/ea0843d8-f4dd-4a03-b516-f798a92f3ac8.tiff,s3://xilishub-production/ea0843d8-f4dd-4a03-b516-f798a92f3ac8.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day7 Live_Dead/Well_D9_Ch3_1um,{},Establishment Day 7,establishment_day_7,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",03b380ca-eed5-4286-9484-15068bb03265,group,ea0843d8-f4dd-4a03-b516-f798a92f3ac8,images,detect-objects-with-threshold,1.0.1,454.5,1007549.0,127866.0,262526.0,31238.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day7 LiveDead/Well_D9_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day7 LiveDead/Well_D9_Ch2_1um,s3://xilishub-production/42e4b8c2-1608-48f9-9d0c-7c2f78c57b8f-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day7 LiveDead/Well_D9_Ch1_1um,s3://xilishub-production/dbadf562-08e0-4ab7-a874-105c37667df8-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day7 Live_Dead,Well_D9_Ch3_1um,D9,Ch3,1um,D,09,D09,ea0843d8-f4dd-4a03-b516-f798a92f3ac8.tiff,Day 07
12713,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day8 Images/,Establishment Day 8,41a26a62-b75d-407b-b4f3-4d6505fdf756,s3://xilishub-production/b7eee30f-4b99-4109-a129-797f31a37b50.tiff,s3://xilishub-production/b7eee30f-4b99-4109-a129-797f31a37b50.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day8 Live_Dead/Well_D10_Ch3_1um,{},Establishment Day 8,establishment_day_8,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",41a26a62-b75d-407b-b4f3-4d6505fdf756,group,b7eee30f-4b99-4109-a129-797f31a37b50,images,detect-objects-with-threshold,1.0.1,7480.5,797973.0,627858.0,444685.0,262002.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day8 LiveDead/Well_D10_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day8 LiveDead/Well_D10_Ch2_1um,s3://xilishub-production/e30fd03c-e8b1-445d-a789-afc911db5c4a-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day8 LiveDead/Well_D10_Ch1_1um,s3://xilishub-production/d5e5af4c-c3d0-43c5-8694-4e8e277816f3-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day8 Live_Dead,Well_D10_Ch3_1um,D10,Ch3,1um,D,10,D10,b7eee30f-4b99-4109-a129-797f31a37b50.tiff,Day 08
13053,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day9 images/,Establishment Day 9,7b946b60-38dc-45f0-8137-494e74f366fa,s3://xilishub-production/36608af1-7e61-47b4-9cfa-e8c087769006.tiff,s3://xilishub-production/36608af1-7e61-47b4-9cfa-e8c087769006.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day9 Live_Dead/Well_D11_Ch3_1um,{},Establishment Day 9,establishment_day_9,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",7b946b60-38dc-45f0-8137-494e74f366fa,group,36608af1-7e61-47b4-9cfa-e8c087769006,images,detect-objects-with-threshold,1.0.1,576.5,738712.0,98734.0,178813.0,17955.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day9 LiveDead/Well_D11_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day9 LiveDead/Well_D11_Ch2_1um,s3://xilishub-production/9097f247-c40b-4091-b1a3-942488473a21-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day9 LiveDead/Well_D11_Ch1_1um,s3://xilishub-production/4e50d90d-b188-419a-a9fc-aa4ba58fcb24-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day9 Live_Dead,Well_D11_Ch3_1um,D11,Ch3,1um,D,11,D11,36608af1-7e61-47b4-9cfa-e8c087769006.tiff,Day 09
13362,Trial 1 images by sample/,501299,501299/ – > Tx 501299 Trial 1,Tx 501299 Trial 1,Day10 Images/,Establishment Day 10,fcf2cfb0-55e2-4691-b072-121c7ab992e9,s3://xilishub-production/f3615da4-cb42-42f0-85eb-b5767e638485.tiff,s3://xilishub-production/f3615da4-cb42-42f0-85eb-b5767e638485.png,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day10 Live_Dead/Well_D12_Ch3_1um,{},Establishment Day 10,establishment_day_10,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",fcf2cfb0-55e2-4691-b072-121c7ab992e9,group,f3615da4-cb42-42f0-85eb-b5767e638485,images,detect-objects-with-threshold,1.0.1,450.5,57434.0,3259.0,122382.0,7858.0,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day10 LiveDead/Well_D12_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day10 LiveDead/Well_D12_Ch2_1um,s3://xilishub-production/c633c587-a7d4-4f56-babe-826878b1f0b5-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 1/Trial 1 images by sample/501299/Day10 LiveDead/Well_D12_Ch1_1um,s3://xilishub-production/b35ccc71-3c2c-4d9d-8cfb-c44d5a80d3dd-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 1,Trial 1 images by sample,501299,Day10 Live_Dead,Well_D12_Ch3_1um,D12,Ch3,1um,D,12,D12,f3615da4-cb42-42f0-85eb-b5767e638485.tiff,Day 10
26741,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,d0a428ec-a92d-4f7b-89d3-fd5ece3fb8d7,s3://xilishub-production/3a2620c5-ea86-49c7-a368-d5c420e6f19b.tiff,s3://xilishub-production/3a2620c5-ea86-49c7-a368-d5c420e6f19b.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day2 Bright Field Only/Well_A6_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",d0a428ec-a92d-4f7b-89d3-fd5ece3fb8d7,group,3a2620c5-ea86-49c7-a368-d5c420e6f19b,images,detect-objects-with-threshold,1.0.1,718.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day2 Bright Field Only,Well_A6_Ch1_1um,A6,Ch1,1um,A,06,A06,3a2620c5-ea86-49c7-a368-d5c420e6f19b.tiff,Day 02
27342,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,d0a428ec-a92d-4f7b-89d3-fd5ece3fb8d7,s3://xilishub-production/cab5da65-0d76-4032-95d9-cc77e3bef4b3.tiff,s3://xilishub-production/cab5da65-0d76-4032-95d9-cc77e3bef4b3.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day2 Bright Field Only/Well_B6_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",d0a428ec-a92d-4f7b-89d3-fd5ece3fb8d7,group,cab5da65-0d76-4032-95d9-cc77e3bef4b3,images,detect-objects-with-threshold,1.0.1,637.5,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day2 Bright Field Only,Well_B6_Ch1_1um,B6,Ch1,1um,B,06,B06,cab5da65-0d76-4032-95d9-cc77e3bef4b3.tiff,Day 02
27993,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day2 Bright Field Only/,Establishment Day 2 BF Only,d0a428ec-a92d-4f7b-89d3-fd5ece3fb8d7,s3://xilishub-production/42fead9a-113e-48f8-9c01-7cb22d3ce156.tiff,s3://xilishub-production/42fead9a-113e-48f8-9c01-7cb22d3ce156.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day2 Bright Field Only/Well_C6_Ch1_1um,{},Establishment Day 2 BF Only,establishment_day_2_bf_only,"{'type': 'image', 'mappedChannels': {'1': 'brightfield', '2': 'N/A', '3': 'N/A', '4': 'N/A'}}",d0a428ec-a92d-4f7b-89d3-fd5ece3fb8d7,group,42fead9a-113e-48f8-9c01-7cb22d3ce156,images,detect-objects-with-threshold,1.0.1,498.0,,,,,,,,,,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day2 Bright Field Only,Well_C6_Ch1_1um,C6,Ch1,1um,C,06,C06,42fead9a-113e-48f8-9c01-7cb22d3ce156.tiff,Day 02
28646,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day3 images/,Establishment Day 3,f6598c30-d806-4dec-99c1-3caf172fa6b8,s3://xilishub-production/558849fa-5c37-46d3-b471-22b72f4f037c.tiff,s3://xilishub-production/558849fa-5c37-46d3-b471-22b72f4f037c.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 Live_Dead/Well_D6_Ch3_1um,{},Establishment Day 3,establishment_day_3,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",f6598c30-d806-4dec-99c1-3caf172fa6b8,group,558849fa-5c37-46d3-b471-22b72f4f037c,images,detect-objects-with-threshold,1.0.1,1553.0,82604.0,80150.0,241668.0,84056.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_D6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_D6_Ch2_1um,s3://xilishub-production/9f9c70bb-0367-4403-b30c-fb90d1b20110-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_D6_Ch1_1um,s3://xilishub-production/1579efb0-a324-45cc-a889-45581ce80d8e-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day3 Live_Dead,Well_D6_Ch3_1um,D6,Ch3,1um,D,06,D06,558849fa-5c37-46d3-b471-22b72f4f037c.tiff,Day 03
29289,Trial 2 images by sample/,19-106,19-106 trial 2/ – > Tx 19-106 Trial 2,Tx 19-106 Trial 2,Day3 images/,Establishment Day 3,f6598c30-d806-4dec-99c1-3caf172fa6b8,s3://xilishub-production/a6d8fbe3-3c3a-47eb-94c4-7734b20a9618.tiff,s3://xilishub-production/a6d8fbe3-3c3a-47eb-94c4-7734b20a9618.png,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 Live_Dead/Well_F6_Ch3_1um,{},Establishment Day 3,establishment_day_3,"{'type': 'image', 'mappedChannels': {'1': 'green', '2': 'red', '3': 'brightfield', '4': 'N/A'}}",f6598c30-d806-4dec-99c1-3caf172fa6b8,group,a6d8fbe3-3c3a-47eb-94c4-7734b20a9618,images,detect-objects-with-threshold,1.0.1,373.5,52058.0,13076.0,82564.0,9035.0,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_F6_Ch3_1um,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_F6_Ch2_1um,s3://xilishub-production/f1367588-f1be-4599-b034-d54d3a0fb3f4-channel-red.tiff,BioPharma_Platform/CRC Characterization Study/Trial 2/Trial 2 images by sample/19-106 trial 2/Day3 LiveDead/Well_F6_Ch1_1um,s3://xilishub-production/0da9a9a7-2d1b-4c4a-8347-6c9478cebca4-channel-green.tiff,BioPharma_Platform,CRC Characterization Study,Trial 2,Trial 2 images by sample,19-106 trial 2,Day3 Live_Dead,Well_F6_Ch3_1um,F6,Ch3,1um,F,06,F06,a6d8fbe3-3c3a-47eb-94c4-7734b20a9618.tiff,Day 03
